total_tokens,line_level_label,line_score,row
One of volume share used to the values ,0.0,1.0,1
It can be used by the driver to introspect internal ,0.0,0.9366814621408587,2
image_id a string which represents of the image ,0.0,0.9272807506978611,3
can be served using different ips It finds the ,0.0,0.6728119797209361,4
image_location a string whose depends on the ,0.0,0.6451828751826406,5
<STR> Finds the image at location cloneable ,0.0,0.5880844573720857,6
against the mounted shares which will contain only ,1.0,0.5847488087833046,7
stores registry to do an efficient image clone ,0.0,0.5178266182063489,8
cinder openstack common log logging ,1.0,0.5079906879003446,9
<STR> Returns the share that served by ip ,0.0,0.4754270272864464,10
msg = e msg e <STR> None e __ str__ ,0.0,0.3913707576876661,11
returns url It needs to be verified ,0.0,0.3597057835260002,12
Returns a of volume properties eg provider_location ,0.0,0.34473290969804365,13
to determine whether cloning possible ,0.0,0.3412483231412575,14
Threshold minutes after which cache file can be cleaned ,0.0,0.3333767857326295,15
Threshold available percent to start cache cleaning ,0.0,0.2938012468027548,16
Threshold available percent to stop cache cleaning integer ,0.0,0.2938012468027548,17
client = GlanceClientWrapper version = <NUM> ,0.0,0.2810196172178545,18
<STR> Create a volume efficiently an existing image ,0.0,0.27723681194657784,19
default = <NUM> ,0.0,0.22193848749490988,20
image service backend use The driver should use it ,0.0,0.19773977984996063,21
share which served by ip on same nfs server ,0.0,0.19113418569058407,22
<STR> Raises error required configuration flag NetApp ,0.0,0.16859226587682796,23
def__ init__ self fmt ,0.0,0.15642066990917403,24
cinder volume drivers netapp options netapp_img_cache_opts ,1.0,0.15598546695293622,25
res __ = self _execute * cmd run_as_root = ,1.0,0.15485764243366726,26
msg = <STR> % strg ,1.0,0.15446503275464793,27
msg =_ <STR> Cloning params volume % volume s src % src_path s ,0.0,0.15446503275464793,28
msg =_ <STR> Cloning params volume % volume s src % src_path s ,0.0,0.15446503275464793,29
self fail msg ,0.0,0.15446503275464793,30
% <STR> msg ,0.0,0.15446503275464793,31
find CommandFilter find root ,0.0,0.13805149426888544,32
copy_image_to_volume self context volume image_service image_id ,1.0,0.12349715355061969,33
NetAppNFSDriver self do_setup context ,0.0,0.12349715355061969,34
NetAppDirectNfsDriver self do_setup context ,0.0,0.12349715355061969,35
context volume image_service image_id ,1.0,0.12349715355061969,36
__ ___ img_file = image_location rpartition <STR> ,1.0,0.11389625247002416,37
LOG debug _ <STR> ,1.0,0.11231916808406243,38
LOG debug _ <STR> image_id ,1.0,0.11231916808406243,39
LOG debug _ <STR> share ,1.0,0.11231916808406243,40
LOG debug _ <STR> path ,1.0,0.11231916808406243,41
LOG debug _ <STR> ,1.0,0.11231916808406243,42
LOG debug _ <STR> bytes_to_free ,1.0,0.11231916808406243,43
LOG debug _ <STR> file_list ,1.0,0.11231916808406243,44
LOG debug _ <STR> ,1.0,0.11231916808406243,45
LOG debug _ <STR> ip ,1.0,0.11231916808406243,46
LOG debug _ <STR> file_path ,1.0,0.11231916808406243,47
old_file_paths = res strip <STR> ,0.0,0.10835291747346316,48
cinder volume drivers netapp utils na_utils ,1.0,0.10337554278241032,49
by backend before use ,0.0,0.10125086928524646,50
actual = self volume driver clone_image ,1.0,0.10076804418158036,51
actual = self volume driver clone_image image_loc ,0.0,0.10076804418158036,52
file_list append file u_bytes ,0.0,0.10033407772109026,53
pass ,1.0,0.09221566055514062,54
path = <STR> % exp_volume file ,0.0,0.08946563983989278,55
file old_files ,0.0,0.08946563983989278,56
sorted_files = file_list key = x x [ <NUM> ] reverse = ,0.0,0.08406869783309537,57
% <STR> e __ str__ ,0.0,0.08244069217837023,58
LOG = logging getLogger __ name__ ,0.0,0.08244069217837023,59
